artifact_id,stage,path,purpose,status
A-001,T00,memos/T00_closure_memo.md,analytical contract,complete
A-002,T00,memos/decision_log.md,durable method decisions,complete
A-101,T01,artifacts/generated/data/file_inventory.csv,raw file inventory,complete
A-102,T01,artifacts/generated/data/schema_audit.csv,schema and type audit,complete
A-103,T01,artifacts/generated/data/data_quality_table.csv,quality checks,complete
A-104,T01,artifacts/generated/data/target_profile.csv,target distribution,complete
A-105,T01,artifacts/generated/data/duplicate_audit.csv,entity and duplicate audit,complete
A-106,T01,artifacts/generated/data/temporal_coverage.csv,date coverage and reference date,complete
A-107,T01,artifacts/generated/data/feature_timing_register.csv,observed feature timing,complete
A-108,T01,artifacts/generated/data/limitations_register.csv,limitations and mitigations,complete
A-109,T01,artifacts/generated/memos/T01_closure_memo.md,gate decision and audit conclusions,complete
A-201,T02,artifacts/generated/eda/hypothesis_register.csv,hypothesis status,complete
A-202,T02,artifacts/generated/eda/finding_register.csv,decision-relevant findings,complete
A-203,T02,artifacts/generated/figures/topics_language.png,required segment figure,complete
A-204,T02,artifacts/generated/figures/age_stars.png,required age figure,complete
A-205,T02,artifacts/generated/eda/target_profile.csv,target concentration and log-scale profile,complete
A-206,T02,artifacts/generated/eda/age_summary.csv,proxy-age binned target summary,complete
A-207,T02,artifacts/generated/eda/proxy_activity.csv,forks and issues analysis,complete
A-208,T02,artifacts/generated/eda/topics_language_support.csv,topic-language cell support audit,complete
A-209,T02,artifacts/generated/eda/lifecycle_summary.csv,age-stratified lifecycle analysis,complete
A-210,T02,artifacts/generated/eda/feature_drift.csv,train-prediction feature comparison,complete
A-211,T02,artifacts/generated/memos/T02_closure_memo.md,findings and Gate 02 decision,complete
A-301,T03,artifacts/generated/modeling/model_comparison.csv,candidate comparison,planned
A-302,T03,artifacts/generated/modeling/validation_predictions.csv,row-level validation evidence,planned
A-303,T03,artifacts/generated/modeling/segment_error.csv,error segmentation,planned
A-401,T04,artifacts/generated/submission/submission.csv,challenge submission,planned
A-402,T04,artifacts/generated/submission/submission_validation.json,submission checks,planned
A-403,T04,artifacts/generated/policy/sensitivity_comparison.csv,proxy sensitivity,planned
A-501,T05,artifacts/generated/handoff/human_brief.md,human evidence briefing,planned
A-502,T05,artifacts/generated/handoff/presentation_evidence_map.csv,claim-to-artifact map,planned
